X_name,FGL,GLON,GLAT,ra,dec,Class,CT,Class_prob,Class_prob_e,r0,significance,Fb,HR_hms,HR_ms,HR_hm,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,P_intra,P_inter,p_any,p_i,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,RPlx,PM,epsi,sepsi,ruwe,rgeo,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,W1mag,W2mag,W3mag,e_W1mag,e_W2mag,e_W3mag,ebv,nH_from_AV,nH
2CXO J085855.2-473154,J0859.2-4729,267.93758202861915,-1.0932155993163175,134.7301704324041,-47.53186665772881,LM-STAR,0.0636253321241338,0.3081510164569215,0.0924985252419245,0.5123690723337037,11.783379991431577,4.431152498030977e-15,-0.3043611400570066,0.9944781385611874,-0.30310629557234803,7.978845608028655e-18,6.028102749890869e-18,2.8819327164410404e-15,4.948234114715516e-16,1.5412409359819082e-15,1.107766922736995e-15,0.999999592354144,,0.9988385,1.0,15.612697,16.620565,14.618729,0.002877,0.005671,0.004319,131.4522,0.018621,5.9e-05,0.5175,1.053,287.036957,13.295,12.582,12.254,0.029,0.036,0.064,,,,,,,3.343907440212311,2.290910987289454,21.865691450137327
2CXO J085855.4-473024,J0859.2-4729,267.91896511410044,-1.0762405041327985,134.73112876271358,-47.50668332434609,AGN,0.3738682371790127,0.4350242013552758,0.2012028374006388,0.5205017447464514,13.517092141751608,4.732010727760568e-14,0.8869185176474834,0.9530495659576512,0.8894263649187408,6.280827033809959e-17,4.745231650553672e-17,2.6127056676777803e-15,4.775913586077501e-16,4.46445933395898e-14,3.753979214424498e-15,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.2795318157744453,2.2468072469870726,21.86469192991751
2CXO J085855.5-472745,J0859.2-4729,267.88572975576994,-1.0471281274949673,134.73150375907366,-47.46250554658793,YSO,5.866108388759893,0.8350726040658277,0.0893832200897866,0.9115492670635528,4.432432432432,6.366854151457611e-15,0.8632654225504576,0.4966237296981338,0.8958884209096456,1.0955595817001415e-16,1.045761418895574e-16,3.257285978711966e-16,1.7621650124972562e-16,5.931569595416401e-15,1.4828923988540997e-15,0.4726331391319099,,0.9977058,1.0,,,,,,,,,,,,,15.921,13.933,12.623,0.103,0.044,0.032,9.496,9.078,,0.014,0.007,,3.165891497385647,2.168952264858907,21.86358201849764
2CXO J085855.8-473150,J0859.2-4729,267.9378578251307,-1.0910725977482376,134.7328370955965,-47.53067221319314,YSO,2.3089963537910805,0.7342497579864472,0.1512590684142859,1.1510960282635416,3.722222222222396,4.442756761765992e-15,0.855029526089291,0.9504472275934062,0.8583670087021348,7.978845608028655e-18,6.028102749890869e-18,3.1405543100358273e-16,1.8826334787273068e-16,4.12072248515438e-15,1.14464513476505e-15,0.07230681039551,,0.9949518,1.0,,,,,,,,,,,,,16.616,15.375,13.466,,0.118,0.096,,,,,,,3.337520282180337,2.286535145321749,21.86573452111979
2CXO J085855.8-473251,J0859.2-4729,267.95049552061846,-1.1022382911347892,134.73258709712377,-47.547533324337685,YSO,2.293054055854794,0.5609002904162633,0.108263525794043,0.5995181951234675,9.371682214114694,1.80370360808448e-14,0.718014334497545,0.9472805877363659,0.7244232044453466,6.703517917640181e-17,5.0645791106181734e-17,2.476057632298005e-15,4.858520298259568e-16,1.5493943269370395e-14,2.064438668456755e-15,0.978138935554921,,0.9988579,1.0,,,,,,,,,,,,,17.441,14.797,13.844,,0.063,0.047,,,,,,,3.3802290444010588,2.3157949183191655,21.866469617356536
2CXO J085857.0-473229,J0859.2-4729,267.94808630837446,-1.095612811946163,134.73767042355456,-47.54137499082298,AGN,0.5174885746717865,0.4709002904162633,0.2354178676581416,1.1056771980483726,3.80645161290331,2.3515656533074635e-15,0.5518059458032569,0.9697185369927109,0.5570891382220347,7.978845608028655e-18,6.028102749890869e-18,5.190000263248138e-16,2.2420966253114493e-16,1.824586781374621e-15,7.049539837129501e-16,0.774660132414,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.358276639713446,2.300755325867682,21.86637015615237
2CXO J085857.1-473238,J0859.2-4729,267.9500843056659,-1.0970825450780144,134.7379620900276,-47.54384721303942,YSO,1.9650175751932173,0.682594385285576,0.1626263582888854,1.0696364178000393,3.538461538461576,4.1430164764683256e-15,0.920192366153314,0.9034751895601774,0.9238975122233065,7.978845608028655e-18,6.028102749890869e-18,1.5734332537935683e-16,1.36820282938572e-16,3.977694305480941e-15,1.0635445483834689e-15,0.1319382251809699,,0.99459994,1.0,,,,,,,,,,,,,17.368,15.754,13.978,,0.144,0.056,,,,,,,3.36412407230782,2.3047614019380878,21.866490443930758
2CXO J085857.2-473106,J0859.2-4729,267.9310545808008,-1.0801936988250702,134.73842042095768,-47.51840832410574,NS,0.312604865569511,0.4417521781219748,0.1934447233848097,0.6658994415706474,5.9717947826930695,1.065496115023746e-14,0.9970046458187788,0.0,0.9985012005505899,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,1.06390034590214e-14,1.8160601148027506e-15,0.919002136763254,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.299649026365533,2.260589547963027,21.86541866454656
2CXO J085857.4-472744,J0859.2-4729,267.8890524358908,-1.0428129974935836,134.73954541551268,-47.46219165742959,YSO,1.0559889409016927,0.3791965150048402,0.1067082939037216,0.9373484230978896,3.875000000000208,5.1524595359616145e-15,0.806494874542081,-0.5338947611997545,0.9512885317905952,3.8233374915203326e-16,3.158409232125481e-16,1.1617991530951854e-16,1.1064753839001464e-16,4.653945871500064e-15,1.4493961103608725e-15,0.998560966064738,,0.9963409,1.0,,,,,,,,,,,,,16.83,15.313,14.612,,,0.12,,,,,,,3.1568372535117386,2.162749202380892,21.863560020780028
2CXO J085857.7-472919,J0859.2-4729,267.90944357128643,-1.0596532291875556,134.74046208290287,-47.488627768480704,YSO,2.6075470051030654,0.6558857696030977,0.1420551485633169,0.7476109056749373,5.873672558675079,5.798905974760127e-15,0.758000686876234,0.7249234996083318,0.7877526106990589,9.650586316264652e-17,8.773260287513331e-17,6.051597682179801e-16,2.2693491308174003e-16,5.097240343379501e-15,1.2072411339583002e-15,0.9917724424984572,,0.99633455,1.0,,,,,,,,,,,,,19.621,14.987,13.98,3.036,0.068,0.076,,,,,,,3.2225145410477953,2.2077447120718445,21.864347492851373
2CXO J085857.8-473244,J0859.2-4729,267.95283550361506,-1.0965627828773394,134.74121208602122,-47.54558610182231,AGN,0.5873178058728535,0.525459825750242,0.2391717106052585,0.779052030537178,4.258064516128645,4.468815951836503e-15,0.7876741779218496,0.9663639669954552,0.7908716890444105,7.978845608028655e-18,6.028102749890869e-18,4.6644366473679e-16,2.0610301465114003e-16,3.994393441491684e-15,1.2439891819117706e-15,0.83976677673527,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.3643673834206713,2.304928094381502,21.866680557036197
2CXO J085857.9-472733,J0859.2-4729,267.887691424878,-1.0398825700112722,134.74150374615067,-47.45924443514682,YSO,2.2942007588354314,0.6235527589545015,0.1287020075926136,1.233743111950012,3.100000000000056,1.684180819871961e-15,0.3512620919165761,0.9707892935984046,0.3576941996058171,7.978845608028655e-18,6.028102749890869e-18,5.3831712535095225e-16,2.23452391655115e-16,1.13788484891298e-15,6.587754388443501e-16,0.77349748931193,,0.9952017,1.0,20.672064,21.704897,19.278988,0.009139,0.255765,0.06245,1.3925,0.0063479999999999,0.001602,0.6976,1.056,2336.63696,15.775,14.575,13.854,0.085,0.07,0.075,,,,,,,3.1462382525033368,2.155487826790036,21.86365885748621
2CXO J085857.9-473014,J0859.2-4729,267.9215030203023,-1.0692036640637497,134.74146208273044,-47.50399443510993,YSO,1.982265717407942,0.6819070667957405,0.1442735849836796,1.233743111950012,3.411764705882562,2.8019213214846975e-15,0.5909571760508501,0.8082631782034194,0.6227751602870794,5.49376713545354e-17,4.1505995232147166e-17,5.18115233557182e-16,2.35506924344175e-16,2.22886841657298e-15,9.484546453501501e-16,0.8434301925034,,0.9920665,1.0,,,,,,,,,,,,,13.078,13.929,12.867,,0.28,0.152,,,,,,,3.259670895800116,2.2332005307126597,21.864954812718942
2CXO J085857.9-473017,J0859.2-4729,267.92218387516897,-1.0698305734828828,134.7414204161827,-47.5049194351114,YSO,1.853888008073056,0.6951403678606002,0.1432201801648556,0.779052030537178,4.117647058823164,3.878850989316835e-15,0.7388908183246575,0.742163709872355,0.7686588603510135,6.528438120680894e-17,4.932304461207911e-17,4.411174226237467e-16,2.0934453887464768e-16,3.372449185486279e-15,1.0244609896587205e-15,0.30500349254545,,0.9952349,1.0,,,,,,,,,,,,,13.065,13.838,12.28,,0.206,0.152,,,,,,,3.2620393629972213,2.2348231675893966,21.86498896155237
2CXO J085857.9-473031,J0859.2-4729,267.92504333304146,-1.0724187767813613,134.74129541661694,-47.50877499067179,LM-STAR,0.1016614303509666,0.2165730880929332,0.0826983681157067,0.7020840877587955,4.66666666666623,4.618083762507316e-15,0.5003084404646775,0.9861695524733425,0.5029050688769744,7.978845608028655e-18,6.028102749890869e-18,1.1458298930679865e-15,3.089783660543186e-16,3.464275023831301e-15,1.1547583412771e-15,0.78087464196969,,0.9967629,1.0,20.266016,19.006935,16.867636,0.025259,0.131935,0.118552,-0.2099,0.006968,0.00261,3.13,0.981,5468.90381,14.833,12.637,12.316,0.167,,0.103,,,,,,,3.271852544901858,2.241546178512263,21.865134476346288
2CXO J085857.9-473122,J0859.2-4729,267.93577718758957,-1.0814543963267935,134.74158708391545,-47.522802768447264,YSO,1.819986497280491,0.5195256534365924,0.111269400234174,0.7553953046479043,3.636363636363756,4.776827312634683e-15,0.8640389633705099,0.6020469215654913,0.8895986732401433,6.461388967791983e-17,4.881648112813252e-17,2.601173069350164e-16,1.73411537956676e-16,4.452096116021747e-15,1.2410853924849628e-15,0.965638225796262,,0.9950346,1.0,,,,,,,,,,,,,15.936,14.812,13.739,,,0.184,,,,,,,3.306646441993259,2.2653834774095816,21.86570980172271
2CXO J085858.1-473106,J0859.2-4729,267.93286652430714,-1.0782634480434605,134.74233708265612,-47.51851387953014,NS,0.4999212355992676,0.4262536302032914,0.2072821578759914,0.7870337135625768,3.891891891891854,6.3668601429883694e-15,0.9507575463293052,0.3354029278170893,0.9668495176899895,5.20910878829114e-17,3.9355371132362105e-17,1.046688199265376e-16,9.943537893021152e-17,6.21010023517892e-15,1.6936637005033498e-15,0.981689498224309,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.2949350713856673,2.2573600174063206,21.865559864202943
2CXO J085858.1-473145,J0859.2-4729,267.9408440674304,-1.0853215396659297,134.74217041696227,-47.52916387954486,NS,0.1169559162058201,0.448838334946757,0.2573470909019072,0.6588794019273179,3.87500000000013,3.700179100814868e-15,0.8789713832034791,0.9287328753480898,0.8830318407984709,7.978845608028655e-18,6.028102749890869e-18,2.1593493362748003e-16,1.4395662241832003e-16,3.4762653215793587e-15,9.690586183635677e-16,0.04362433221451,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.3218710343558633,2.275813845637202,21.86599645011157
2CXO J085858.3-472727,J0859.2-4729,267.88709188775744,-1.0380587720501253,134.74296207751607,-47.45759721287882,YSO,1.5722233129349716,0.5061374636979671,0.1097322696744309,0.7476109056749373,6.163393034097318,5.381571976447131e-15,0.411468478953201,0.9899232340478523,0.41356426268672086,7.978845608028655e-18,6.028102749890869e-18,1.5756335248526002e-15,3.336635699688e-16,3.797959605986501e-15,1.1638908469959002e-15,0.9982900046224578,,0.998341,1.0,18.270573,19.830717,16.856747,0.003749,0.05506,0.01176,4.7908,0.007301,0.00063,3.74,1.003,1766.16882,14.129,13.029,12.521,0.037,0.039,0.047,,,,,,,3.1399502353825177,2.151179906260563,21.863712479817007
2CXO J085858.3-473258,J0859.2-4729,267.956524291506,-1.098231960904988,134.74292041746062,-47.54946665732774,YSO,3.571374321408198,0.7565924491771538,0.1214009207031849,0.6874024049158542,6.3091600854564005,7.412034970067476e-15,0.6411284640277494,0.8877787815809792,0.6578198087409735,7.462622298247515e-17,5.638090546857617e-17,1.2553579642116005e-15,3.3307097240246453e-16,6.082050782873401e-15,1.3032965963300005e-15,0.3779568224827799,,0.99842584,1.0,,,,,,,,,,,,,15.651,14.027,13.049,0.122,0.058,0.056,,,,,,,3.371961407773923,2.3101307604659147,21.866914658257926
2CXO J085858.5-473059,J0859.2-4729,267.93196291538584,-1.0761033112359906,134.7438787472145,-47.51641665725509,HMXB,0.1270839539928447,0.2701548886737657,0.1266762614346441,0.5123690723337037,11.286692513255192,3.4057009162820415e-14,0.9406418881944651,0.8387258249966875,0.9452974374926446,8.150634553367744e-17,6.157891125888194e-17,9.29273533290732e-16,3.04417191940065e-16,3.3046229283996e-14,3.105317035297885e-15,0.6271300501213499,,0.99607986,1.0,,,,,,,,,,,,,14.596,13.723,14.569,,,0.181,,,,,,,3.2877165195548503,2.252414587547028,21.865528484500516
